PAQUETE                                    | BIBLIOTECA                                    | RUTA REAL
--------------------------------------------------------------------------------------------------------------------------------------------
NO IDENTIFICADO                            | libatk-1.0.so.0                               | /usr/lib/x86_64-linux-gnu/libatk-1.0.so.0.25611.1
NO IDENTIFICADO                            | libatomic.so.1                                | /usr/lib/x86_64-linux-gnu/libatomic.so.1.2.0
NO IDENTIFICADO                            | libblkid.so.1                                 | /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
NO IDENTIFICADO                            | libbrotlicommon.so.1                          | /usr/lib/x86_64-linux-gnu/libbrotlicommon.so.1.1.0
NO IDENTIFICADO                            | libbrotlidec.so.1                             | /usr/lib/x86_64-linux-gnu/libbrotlidec.so.1.1.0
NO IDENTIFICADO                            | libbz2.so.1.0                                 | /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
NO IDENTIFICADO                            | libcairo.so.2                                 | /usr/lib/x86_64-linux-gnu/libcairo.so.2.11804.4
NO IDENTIFICADO                            | libc.so.6                                     | /usr/lib/x86_64-linux-gnu/libc.so.6
NO IDENTIFICADO                            | libdatrie.so.1                                | /usr/lib/x86_64-linux-gnu/libdatrie.so.1.4.0
NO IDENTIFICADO                            | libexpat.so.1                                 | /usr/lib/x86_64-linux-gnu/libexpat.so.1.12.2
NO IDENTIFICADO                            | libffi.so.8                                   | /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
NO IDENTIFICADO                            | libfontconfig.so.1                            | /usr/lib/x86_64-linux-gnu/libfontconfig.so.1.12.1
NO IDENTIFICADO                            | libfreetype.so.6                              | /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.2
NO IDENTIFICADO                            | libfribidi.so.0                               | /usr/lib/x86_64-linux-gnu/libfribidi.so.0.4.0
NO IDENTIFICADO                            | libgdk_pixbuf-2.0.so.0                        | /usr/lib/x86_64-linux-gnu/libgdk_pixbuf-2.0.so.0.4200.12
NO IDENTIFICADO                            | libgdk-x11-2.0.so.0                           | /usr/lib/x86_64-linux-gnu/libgdk-x11-2.0.so.0.2400.33
NO IDENTIFICADO                            | libgio-2.0.so.0                               | /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.8400.4
NO IDENTIFICADO                            | libglib-2.0.so.0                              | /usr/lib/x86_64-linux-gnu/libglib-2.0.so.0.8400.4
NO IDENTIFICADO                            | libgmodule-2.0.so.0                           | /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.8400.4
NO IDENTIFICADO                            | libgobject-2.0.so.0                           | /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8400.4
NO IDENTIFICADO                            | libgraphite2.so.3                             | /usr/lib/x86_64-linux-gnu/libgraphite2.so.3.2.1
NO IDENTIFICADO                            | libgthread-2.0.so.0                           | /usr/lib/x86_64-linux-gnu/libgthread-2.0.so.0.8400.4
NO IDENTIFICADO                            | libgtk-x11-2.0.so.0                           | /usr/lib/x86_64-linux-gnu/libgtk-x11-2.0.so.0.2400.33
NO IDENTIFICADO                            | libharfbuzz.so.0                              | /usr/lib/x86_64-linux-gnu/libharfbuzz.so.0.61020.0
NO IDENTIFICADO                            | libjpeg.so.62                                 | /usr/lib/x86_64-linux-gnu/libjpeg.so.62.3.0
NO IDENTIFICADO                            | libmount.so.1                                 | /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
NO IDENTIFICADO                            | libm.so.6                                     | /usr/lib/x86_64-linux-gnu/libm.so.6
NO IDENTIFICADO                            | libpango-1.0.so.0                             | /usr/lib/x86_64-linux-gnu/libpango-1.0.so.0.5600.3
NO IDENTIFICADO                            | libpangocairo-1.0.so.0                        | /usr/lib/x86_64-linux-gnu/libpangocairo-1.0.so.0.5600.3
NO IDENTIFICADO                            | libpangoft2-1.0.so.0                          | /usr/lib/x86_64-linux-gnu/libpangoft2-1.0.so.0.5600.3
NO IDENTIFICADO                            | libpcre2-8.so.0                               | /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.14.0
NO IDENTIFICADO                            | libpixman-1.so.0                              | /usr/lib/x86_64-linux-gnu/libpixman-1.so.0.44.0
NO IDENTIFICADO                            | libpng16.so.16                                | /usr/lib/x86_64-linux-gnu/libpng16.so.16.48.0
NO IDENTIFICADO                            | libselinux.so.1                               | /usr/lib/x86_64-linux-gnu/libselinux.so.1
NO IDENTIFICADO                            | libthai.so.0                                  | /usr/lib/x86_64-linux-gnu/libthai.so.0.3.1
NO IDENTIFICADO                            | libX11.so.6                                   | /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
NO IDENTIFICADO                            | libXau.so.6                                   | /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
NO IDENTIFICADO                            | libxcb-render.so.0                            | /usr/lib/x86_64-linux-gnu/libxcb-render.so.0.0.0
NO IDENTIFICADO                            | libxcb-shm.so.0                               | /usr/lib/x86_64-linux-gnu/libxcb-shm.so.0.0.0
NO IDENTIFICADO                            | libxcb.so.1                                   | /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
NO IDENTIFICADO                            | libXcomposite.so.1                            | /usr/lib/x86_64-linux-gnu/libXcomposite.so.1.0.0
NO IDENTIFICADO                            | libXcursor.so.1                               | /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
NO IDENTIFICADO                            | libXdamage.so.1                               | /usr/lib/x86_64-linux-gnu/libXdamage.so.1.1.0
NO IDENTIFICADO                            | libXdmcp.so.6                                 | /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
NO IDENTIFICADO                            | libXext.so.6                                  | /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
NO IDENTIFICADO                            | libXfixes.so.3                                | /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
NO IDENTIFICADO                            | libXinerama.so.1                              | /usr/lib/x86_64-linux-gnu/libXinerama.so.1.0.0
NO IDENTIFICADO                            | libXi.so.6                                    | /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
NO IDENTIFICADO                            | libXrandr.so.2                                | /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
NO IDENTIFICADO                            | libXrender.so.1                               | /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
NO IDENTIFICADO                            | libz.so.1                                     | /usr/lib/x86_64-linux-gnu/libz.so.1.3.1
